"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"OTHER",0,-0.0305121373385191,-0.0303738731890917,0.00535289896652102,-0.0117882248014212,0,0,-0.00138790649361908,0,0,0.149566322565079,0.230494916439056,0.181259959936142,0.0123847126960754,0.0289306938648224,-0.00731071829795837,0.082567423582077,-0.0692202299833298,0.235838294029236,-0.158230870962143
"VOMIT",-0.00773916207253933,-0.00558607093989849,0,0.0153535529971123,-0.0156915988773108,0,0,-0.00487117515876889,-0.0152492569759488,0,-0.0591722428798676,-0.183485612273216,-0.0460023880004883,0.138291507959366,0.205571353435516,0.189507991075516,-0.0607767999172211,0.0631005167961121,0.258439064025879,-0.18862172961235
"DRY_MOUTH",-0.11197368055582,-0.0737831592559814,-0.0881031230092049,-0.00247930781915784,-0.00480739120393991,-0.00258319964632392,-0.00309896003454924,0,-0.00636155810207129,-0.00437289848923683,0.0719552636146545,0.222303688526154,-0.0415011644363403,-0.0554403513669968,-0.161856800317764,0.277421236038208,0.21739536523819,0.296445667743683,0.285473585128784,-0.184553697705269
"DENTAL_PROBLEM",0.00274279643781483,-0.00169195199850947,-0.00424395082518458,-0.00341271888464689,0.00235033431090415,-0.0135299563407898,0,-0.084807276725769,-0.00158474361523986,0,0.11212894320488,0.175766348838806,0.0835578143596649,-0.150590762495995,0.0990855991840363,0.292980074882507,0.0344542562961578,-0.108994990587234,-0.129691809415817,-0.181755393743515
"AGE65",-0.00577710289508104,0,-0.00307049788534641,0,0.00392717448994517,-0.0421883203089237,-0.0693179070949554,-0.0595492012798786,-0.20193250477314,-0.214796930551529,-0.044892817735672,0.0387831628322601,-0.22561326622963,-0.197367936372757,-0.187665283679962,0.17364889383316,0.266566395759583,-0.0113954246044159,0.230566203594208,0.0873276591300964
"WEIGHT_CHANGEPOINT",0.0566339194774628,0.093390591442585,-0.0189653728157282,0,0.0013995902845636,0.0664132386445999,0.0746522173285484,-0.00578322820365429,0.00297770230099559,0.00518657080829144,-0.227758198976517,-0.0417587459087372,0.290516316890717,0.0406871438026428,-0.272821396589279,0.109456777572632,-0.274892777204514,-0.173720061779022,-0.138824984431267,0.0909766554832458
"SITE_BRUNCHUS_LUNG",0.178525879979134,0.145646169781685,0.159764677286148,0.307504802942276,0.313690185546875,0.327723532915115,0.418185353279114,0.408244758844376,0.129872143268585,0.0505465678870678,0.142236262559891,0.145463436841965,0.183856338262558,-0.048512190580368,-0.0650463253259659,-0.107928559184074,-0.10432305932045,-0.0700862407684326,0.237371027469635,-0.264243900775909
"SITE_COLORECTAL",-0.0851482823491096,-0.0859703496098518,-0.161275520920753,-0.163752540946007,-0.180931583046913,-0.183077827095985,-0.141398385167122,-0.0145101556554437,-0.0125044379383326,-0.0109535790979862,0.2088383436203,-0.0652220845222473,0.18968454003334,-0.0189210176467896,-0.0814856886863708,0.0677813589572906,0.239786148071289,-0.210099503397942,0.228162288665771,-0.283021509647369
"SITE_HEAD_AND_NECK",-0.125793293118477,-0.153582870960236,-0.146434023976326,-0.150237143039703,-0.277763992547989,-0.248783841729164,-0.296431094408035,-0.115863770246506,-0.112375393509865,-0.0993351489305496,0.0316080749034882,-0.281363248825073,0.228638648986816,-0.0594970881938934,-0.193700030446053,0.0805062353610992,-0.297969669103622,0.0848333537578583,-0.00397384166717529,-0.233466953039169
"SITE_ESOPHAGUS",-0.0482355132699013,0.0228171870112419,0.0319619551301003,0.0369975194334984,0.0961926355957985,0.0429645404219627,0.0503704436123371,0.00534793408587575,-0.00240921042859554,0.00151345913764089,0.261513948440552,-0.217100471258163,-0.257727235555649,0.288575530052185,0.0587478280067444,0.274429321289062,0.258614003658295,0.235461711883545,0.093684583902359,-0.272641450166702
