"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"PAIN",-0.0463225357234478,-0.167706355452538,-0.000396217044908553,-0.00059860193869099,0.00017278894665651,-0.249323561787605,0.000741868105251342,-0.00127922580577433,0.000208988494705409,-0.000103973914519884,0.000266443123109639,0.000354641524609178,0.000204340554773808,-0.000189872982446104,0,-0.00035580137046054,0,0,-0.000396414281567559,0.000354581221472472,-0.000354626507032663,0.000354581570718437
"OTHER",-0.11348894238472,-0.0834727957844734,-0.000160228330059908,0.102680839598179,0,-0.000873858283739537,0.000388092914363369,-0.000695716065820307,0.0472064986824989,-0.00232576997950673,0,-0.000352698902133852,0,0,-0.000189846206922084,0,-0.000396420917240903,0.000355835247319192,0.000189862039405853,0.000189819314982742,0.000352545001078397,0.000352541042957455
"VOMIT",-0.238264501094818,-0.00317976204678416,-0.000371240777894855,-0.0239702444523573,0,0,-0.00484989071264863,-0.00198139366693795,0,0,0,-0.000352629518602043,0.000189865299034864,-0.000354603107552975,-0.000189876125659794,-0.000396420451579615,-0.000355804280843586,-0.000354428717400879,-0.000189868675079197,0,-0.000352580158505589,-0.000354562245775014
"DIARRHEA",0.0407179817557335,0.0752852708101273,0.153977602720261,-0.161336049437523,0.00100506935268641,0,-0.0653676688671112,0,-0.0187496989965439,0,-0.00104138336610049,0.000189866113942116,0.000189905578736216,-0.000352668284904212,0,0,0.000189868325833231,-0.000189891958143562,-0.000352694012690336,-0.000204330077394843,0.000189839338418096,0.000355810334440321
"DRY_MOUTH",-0.142138138413429,-0.20487979054451,0.362490683794022,0.0105982171371579,-0.000169797334820032,0,-0.000118351192213595,-0.0105532379820943,-0.0731929391622543,0,-0.202644869685173,0.000352547445800155,-0.000353019626345485,0.000396343151805922,-0.000396413932321593,-0.000189864716958255,0,-0.00020433880854398,0.000354620220605284,0.000354411837179214,-0.000352573290001601,0.000355809053871781
"DENTAL_PROBLEM",-0.000989622669294477,-0.0446521751582623,0.00111016049049795,-0.19474995136261,-0.000409559695981443,0,-0.00205849413760006,-0.200025796890259,0,0,0,0,0,0,0.000354571093339473,-0.000354437914211303,0.000355842465069145,-0.000189872749615461,-0.000189873448107392,-0.000189902551937848,0.000189904763828963,-0.000189898943062872
"AGE65",0.00256174290552735,-0.00198109075427055,-0.000309575581923127,0,-0.000594306737184525,-0.00102797977160662,0.049534410238266,0.000330632261466235,-0.000614508287981153,-0.102475516498089,-0.00127447210252285,0.00018984655616805,0.00035270320950076,0,-0.000396377959987149,0.00035463337553665,-0.000354607647750527,-0.000352545466739684,0.000396420800825581,-0.000355808006133884,0.000396390998503193,0.000352690170984715
"WEIGHT_CHANGEPOINT",0.000745315570384264,-0.00502236699685454,0.000739366863854229,-0.00486698653548956,0.000241899659158662,0.00304603180848062,-0.0650738552212715,-0.080916665494442,0.000558485742658377,0.00203834567219019,0.000426381186116487,0,-0.000354629883076996,0.000354429648723453,0,-0.000189863436389714,-0.000354293675627559,-0.000189857732038945,0,-0.000355808937456459,0.000189902784768492,0
"STAGE_1",0,0,0,-0.000179471797309816,0,-0.00102223246358335,0.0179173573851585,0,0,-0.000860449566971511,0,0,0.000354590301867574,0,-0.0003525668871589,-0.000352597620803863,-0.000396338960854337,0.000396404269849882,0,0.000354562827851623,0.000352668750565499,0.000354640476871282
"STAGE_2",-0.00253651151433587,-0.000315088778734207,0,0.00107386580202729,0.000213717488804832,-0.00132245593704283,-0.02853480912745,0,0,0,0,0,0.000189829326700419,-0.000354571791831404,-0.000189899059478194,-0.000396406132495031,0.000354625924956053,0.000305633351672441,0,0.000189848185982555,0.000189893704373389,0.000189898360986263
"STAGE_3",0.000110257125925273,-0.000335374847054482,-0.000760177616029978,-0.0358651988208294,0.000617784913629293,-0.001340277842246,0,0.00206086691468954,-0.0024221760686487,-0.0284779462963343,0,-0.000354589603375643,0.000354950374457985,0,-0.000352698552887887,0.000305655703414232,0.000354591698851436,0.00018985994393006,-0.000353075854945928,0.000189906975720078,-0.000204331590794027,0.000354619172867388
"STAGE_4",0.00404221937060356,0.68581086397171,1.30905103683472,0.0913249775767326,0.751437187194824,0.00264042522758245,0.187548041343689,-0.000360098551027477,0.301426440477371,0.295331805944443,0.000230391160584986,0.000352587492670864,0,-0.000396368763176724,0,-0.000204332871362567,-0.000396370858652517,0,0.000396402989281341,-0.000355807424057275,-0.000189900922123343,-0.00035441032378003
"STAGE_NUMERICAL",0.152501091361046,0.00161265826318413,0.00191130232997239,0.000851213582791388,0.161296904087067,0.259036600589752,0.000586923735681921,-0.000175412846147083,0.00155066384468228,0.000296510697808117,0.000255645194556564,0.000355802301783115,0.000352594477590173,0,0.000353079114574939,0.000355825701262802,0.000354566785972565,-0.000354627321939915,-0.000396360032027587,-0.000354611722286791,0.000352687027771026,0.000352587143424898
"AGE",-0.000798129942268133,0.141069501638412,-0.00106931384652853,0.0214834250509739,0.000893807678949088,0.249895989894867,-0.00105378357693553,-0.000135690730530769,0.226694658398628,0.000481745635624975,0.548510253429413,-0.000352574221324176,0.000354426621925086,0,-0.000189862272236496,0.000189884158317,-0.00035457982448861,0,-0.000352573639247566,0.000354574469383806,0.000355820346157998,0.00018989440286532
"GRANULOCYTES",0.560619473457336,0.00467988150194287,-0.00080897833686322,0.00948342587798834,-0.148705467581749,0.0815268009901047,0.00036309179267846,0.000884722510818392,0.00096632691565901,0.00122871808707714,0,0.000189876125659794,-0.000354419054929167,-0.000355843862053007,0.000396341289160773,-0.000354591349605471,-0.000352700299117714,-0.000354290765244514,0,-0.000354638730641454,-0.000354574352968484,-0.000189855752978474
"LDH_SERUM",0.063831552863121,0.346335113048553,0,0.422737389802933,0.372673481702805,0.463137328624725,0.906582474708557,0.000175660607055761,0,0,-0.000173127016751096,0,0.000355801952537149,-0.000396348506910726,-0.000189869839232415,-0.000352577248122543,0.000352706585545093,0.000352706236299127,0.000396371440729126,0.000355809170287102,0.000189821177627891,-0.000354638497810811
"LYMPHOCYTES",0.000639620062429458,-0.00182246137410402,-0.000909384689293802,0,-0.00294250925071537,-0.235485702753067,-0.399423539638519,0.00131780898664147,-0.00201596249826252,-0.110982112586498,0.0015419302508235,0.000354287389200181,0.000189899874385446,0.000353018811438233,-0.000189860409591347,-0.000354595074895769,-0.000396401126636192,0,0.000352585047949106,0,0.000354641291778535,0.000305639172438532
"PLATELET",-0.0354828573763371,-0.0124704008921981,-0.0943105816841125,-0.000453173212008551,-0.120925337076187,0.425041854381561,0.448202282190323,0.00106685783248395,0.122959397733212,0.000280336244031787,0.00153855327516794,-0.000352681439835578,0,0.000189859594684094,-0.00018986890790984,0.000354577146936208,0.000352586794178933,-0.00039637865847908,0,0.000189904414582998,0,-0.000352573290001601
"WBC_COUNT",0.00360891874879599,0.298779219388962,-0.0013715261593461,0.00230864505283535,0.00183006376028061,0.255370706319809,-0.00019379511650186,0.00110366300214082,0.00101888249628246,0.00105796591378748,0.000376950163627043,0.00018984597409144,0.000354426738340408,0.000352577830199152,-0.000355821277480572,-0.000352566072251648,0.000189892307389528,0.000189893820788711,-0.000189896847587079,0.000352542090695351,0,0.00035477353958413
"CALCIUM_SERUM",0.00107503752224147,0.00142632226925343,-0.00290457671508193,0.00227969558909535,-0.223125830292702,0.00254569994285703,0.00228432007133961,-0.143073573708534,0.00066563265863806,-0.245417788624763,-0.000141146054374985,-0.000354289019014686,0.000140021817060187,0.000189892307389528,0,0.000354567251633853,0.000354642455931753,0.000352688191924244,0.000355804513674229,0.000396346760680899,0,0.000354291114490479
"HGB",-0.00123515876475722,0.00212820828892291,-0.00154047436080873,-0.00230277772061527,-0.129112973809242,0.000648938759695739,-0.50787889957428,-0.0947395712137222,-0.307943195104599,-0.000761547242291272,-0.000144369711051695,0,0.000189875427167863,-0.000352694129105657,-0.000396418588934466,-0.000352704024408013,0.000352694478351623,-0.000355832919012755,-0.000354592746589333,-0.000156444642925635,0,0.00035456515615806
"CREATININE_SERUM",-0.00185001594945788,0.0028124819509685,-0.000108470645500347,0.157668262720108,0.0615617781877518,0.00114003964699805,-0.00259951408952475,0.000571859301999211,0.000116322204121388,0.000954845396336168,-0.000198559078853577,0.000396374816773459,-0.000354608695488423,0,0.000189903134014457,0.000354426738340408,-0.000355808471795171,0.000355802883859724,0,0,-0.000396359333535656,0.000354611256625503
"ALBUMIN",-0.124555483460426,-0.00252736289985478,-0.124313026666641,-0.761750340461731,0.000748666701838374,-0.179259598255157,-0.051402360200882,-0.0001999783271458,-0.000308219430735335,-0.252751022577286,-0.000428360246587545,0.000354424759279937,-0.000396419171011075,0.000396368530346081,0.000396416377043352,-0.000189854938071221,0.000354632677044719,-0.000352576666045934,-0.000354390183929354,0.000354608229827136,0.000189905695151538,0
